"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Oct 04 16:43:17 EEST 2022","Tue Oct 04 16:43:25 EEST 2022","8057","","Telnyx UI","","","","Search on Blog Page",""
"passed","Tue Oct 04 16:44:05 EEST 2022","Tue Oct 04 16:44:12 EEST 2022","6537","","Telnyx UI","","","","Go to Network Page",""
"passed","Tue Oct 04 16:44:18 EEST 2022","Tue Oct 04 16:44:22 EEST 2022","4090","","Telnyx UI","","","","Verify drop-down menu on Resources",""
"passed","Tue Oct 04 16:45:33 EEST 2022","Tue Oct 04 16:45:43 EEST 2022","9874","","Telnyx UI","","","","Fill and send Contact us form",""
"passed","Tue Oct 04 16:43:40 EEST 2022","Tue Oct 04 16:43:46 EEST 2022","6195","","Telnyx UI","","","","Search on Release Notes Page",""
"passed","Tue Oct 04 16:45:20 EEST 2022","Tue Oct 04 16:45:26 EEST 2022","5767","","Telnyx UI","","","","Verify Sales Inquiry reson in select on Contact us Page",""
"passed","Tue Oct 04 16:43:32 EEST 2022","Tue Oct 04 16:43:34 EEST 2022","2409","","Telnyx UI","","","","Go to Release Notes Page",""
"passed","Tue Oct 04 16:45:05 EEST 2022","Tue Oct 04 16:45:13 EEST 2022","8729","","Telnyx UI","","","","Go to Main page from Contact Us Page",""
"passed","Tue Oct 04 16:44:38 EEST 2022","Tue Oct 04 16:44:44 EEST 2022","6932","","Telnyx UI","","","","Go to Support Page",""
"passed","Tue Oct 04 16:44:29 EEST 2022","Tue Oct 04 16:44:31 EEST 2022","2164","","Telnyx UI","","","","Verify drop-down menu on Pricing",""
"passed","Tue Oct 04 16:42:39 EEST 2022","Tue Oct 04 16:42:45 EEST 2022","5717","","Telnyx UI","","","","Verify drop-down menu on Product",""
"passed","Tue Oct 04 16:44:51 EEST 2022","Tue Oct 04 16:44:58 EEST 2022","7020","","Telnyx UI","","","","Go to Contact Us Page",""
"passed","Tue Oct 04 16:43:05 EEST 2022","Tue Oct 04 16:43:11 EEST 2022","5741","","Telnyx UI","","","","Go to Blog Page",""
"passed","Tue Oct 04 16:43:53 EEST 2022","Tue Oct 04 16:43:59 EEST 2022","6457","","Telnyx UI","","","","Filter by WhatsApp on Release Notes Page",""
"passed","Tue Oct 04 16:42:52 EEST 2022","Tue Oct 04 16:42:58 EEST 2022","6928","","Telnyx UI","","","","Go to Products Page",""
